
"# of Use", "# Izmantošanas"
"%1$s incl tax.", "% 1 $ s ar nodokli."
"%s - %s", "%s -% s"
"%s Item(s)", "%s Prece (s)"
"%s and above", "%s un augstāk"
"(%d)", "(% D)"
"(Copy data from: %s)", "(Kopēt datus no% s)"
"* Required Fields", "* Obligātie lauki"
"-- Please Select --", "- Lūdzu izvēlieties -"
"86400 by default, "86.400 pēc noklusējuma
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.", "<strong Style=""color:red""> Brīdinājums </ strong> Pieteikšanās MAP pēc noklusējuma būs paslēpt visu produktu cenas uz Frontend.!"
"A group with the same name already exists.", "Ar tādu pašu nosaukumu grupa jau pastāv."
"A name is required", "Nosaukums ir obligāts"
"A product type is not defined for the indexer.", "Produkta veidu nav definēta rādītāja."
"ALL GROUPS", "Visas grupas"
"AM", "AM"
"Action", "Darbība"
"Actual Price", "Faktiskā cena"
"Add", "Pievienot"
"Add Attribute", "Pievienot atribūtu"
"Add Design Change", "Pievienot Design Change"
"Add Group", "Pievienot Group"
"Add Group Price", "Pievienot Group cena"
"Add New", "Pievienot jaunu"
"Add New Attribute", "Pievienot jaunu atribūtu"
"Add New Attribute Set", "Pievienot jaunu atribūtu kopu"
"Add New Group", "Pievienot jaunu grupu"
"Add New Images", "Pievienot jaunu attēlus"
"Add New Option", "Pievienot jaunu Option"
"Add New Row", "Pievienot jaunu rindu"
"Add New Search Term", "Pievienot jaunu meklēšanas terminu"
"Add New Set", "Pievienot jaunu Set"
"Add Product", "Ielikt"
"Add Product To Websites", "Pievienot produktu Websites"
"Add Root Category", "Pievienot Root kategorijā"
"Add Subcategory", "Pievienot Subcategory"
"Add Tax", "Pievienot nodokli"
"Add Tier", "Pievienot līmeņa"
"Add attribute into attribute set", "Pievienot atribūtu uz atribūtu kopu"
"Add group into attribute set", "Pievienot grupu par atribūtu kopu"
"Add new custom option into product", "Pievienot jaunu pielāgotu iespēju par produktu"
"Add new values into custom option", "Pievienot jaunas vērtības par pasūtījuma opciju"
"Add option", "Pievienot iespēju"
"Add to Cart", "Pievienot grozam"
"Add to Compare", "Salīdzināt"
"Add to Wishlist", "Pievienot vēlmju sarakstā"
"Additional Information", "Papildu informācija"
"Alert Urls", "Brīdinājuma URL"
"All", "Visi"
"All Product Types", "Visi produktu veidi"
"All Websites", "Visi vietnēs"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?", "Visas šīs kopas produkti tiks dzēsti Vai tiešām vēlaties dzēst šo atribūtu kopums!"
"Allow All Products per Page", "Atļaut visus produktus per page"
"Allow Dynamic Media URLs in Products and Categories", "Atļaut Dynamic Media URL produktu un kategoriju"
"Allow HTML Tags on Frontend", "Atļaut HTML birkas uz priekšpuseName"
"Allowed File Extensions", "Atļauts Failu paplašinājumi"
"Allowed file extensions to upload", "Atļauts failu paplašinājumi, lai augšupielādēt"
"An error occurred while adding products to websites.", "Kļūda, pievienojot produktus vietnēs."
"An error occurred while clearing comparison list.", "Kļūda ieskaita salīdzinājuma sarakstā."
"An error occurred while deleting this review.", "Kļūda dzēšot šo pārskatīšanu."
"An error occurred while removing products from websites.", "Kļūda izsvītrošana no mājas lapas."
"An error occurred while saving the URL rewrite", "Kļūda saglabājot URL pārrakstīt"
"An error occurred while saving the attribute set.", "Kļūda saglabājot atribūtu kopums."
"An error occurred while saving the collection, "Kļūda saglabājot kolekciju
"An error occurred while saving the product. ", "Kļūda saglabājot produktu."
"An error occurred while saving the search query.", "Kļūda saglabājot meklēšanu."
"An error occurred while saving this group.", "Kļūda saglabājot šo grupu."
"An error occurred while saving this review.", "Kļūda saglabājot šo pārskatīšanu."
"An error occurred while trying to delete the category.", "Kļūda mēģinot dzēst kategoriju."
"An error occurred while updating the product(s) attributes.", "Kļūda atjauninot ražojumu (-iem) atribūtus."
