
"%s was added to your shopping cart.", "%s tika pievienots jūsu iepirkumu grozā."
"%s was updated in your shopping cart.", "%s tika atjaunināts jūsu iepirkumu grozā."
"* Required Fields", "* Obligātie lauki"
"Add New Address", "Pievienot jaunu adresi"
"Add New Condition", "Pievienot jaunu Condition"
"Add coupon code for shopping cart", "Pievienot kupona kodu iepirkumu grozā"
"Add gift messages to shopping cart", "Pievienot dāvanu ziņas grozā"
"Add product to shopping cart", "Pievienot produktu iepirkumu grozā"
"Add product(s) to shopping cart", "Pievienot produktu (-iem) grozā"
"Add to Cart", "Pievienot grozam"
"Add to Compare", "Salīdzināt"
"Add to Wishlist", "Pievienot vēlmju sarakstā"
"Additional Product Info", "Papildus Informācija par produktu"
"Address", "Adrese"
"Address %s of %s", "Adrese% s% s"
"After Adding a Product Redirect to Shopping Cart", "Pēc pievienošana Produkts Novirzīt grozam"
"Allow Guest Checkout", "Atļaut Klientu Checkout"
"Already registered?", "Jau reģistrēts?"
"An error occurred in the process of payment", "Kļūda procesā samaksu"
"An error occurred while deleting this condition.", "Kļūda dzēšot šo nosacījumu."
"An error occurred while saving this condition.", "Kļūda saglabājot šo nosacījumu."
"Apply Coupon", "Pielietot Kupona"
"Are you sure you would like to remove this item from the shopping cart?", "Vai jūs tiešām vēlaties, lai novērstu šo posteni no iepirkumu grozā?"
"Back", "Atpakaļ"
"Back to Billing Information", "Atpakaļ uz Norēķinu informācija"
"Back to Select Addresses", "Atpakaļ uz Select adreses"
"Back to Shipping Information", "Atpakaļ uz kuģniecības informācija"
"Back to Shopping Cart", "Atpakaļ grozam"
"Based on your selection, "Balstoties uz savu izvēli
"Billing Address", "Norēķinu adrese"
"Billing Information", "Norēķinu informācija"
"Billing Information - %s", "Norēķinu informācija -% s"
"Cancel Coupon", "Atcelt Kupona"
"Cannot add item to the shopping cart.", "Nevar pievienot objektu iepirkumu grozā."
"Cannot add the item to shopping cart", "Nevar pievienot objektu grozā"
"Cannot add the item to shopping cart.", "Nevar pievienot objektu iepirkumu grozā."
"Cannot apply the coupon code.", "Nevar piemērot kupona kods."
"Cannot configure product.", "Nevar konfigurēt produktu."
"Cannot open the overview page", "Nevar atvērt pārskata lapu"
"Cannot process the item.", "Nevar apstrādāt objektu."
"Cannot remove the item.", "Nevar izņemt objektu."
"Cannot update shopping cart.", "Nevar atjaunināt iepirkumu grozu."
"Cannot update the item.", "Nevar atjaunināt objektu."
"Card Verification Number Visual Reference", "Kartes Pārbaude skaits Vizuālā Atsauce"
"Cart Product API", "Pirkumu Produkts API"
"Cart Subtotal:", "Pirkumu Starpsumma:"
"Change", "Mainīt"
"Change Billing Address", "Mainīt Norēķinu adrese"
"Checkbox Text", "Checkbox Teksts"
"Checkout", "Checkout"
"Checkout Conditions", "Checkout nosacījumi"
"Checkout Method", "Checkout metode"
"Checkout Options", "Checkout opcijas"
"Checkout Progress Wrapper", "Noformēt Progress apvalks"
"Checkout Section", "Checkout sadaļa"
"Checkout Terms and Conditions", "Checkout Noteikumi un nosacījumi"
"Checkout as Guest", "Noformēt kā viesim"
"Checkout as a Guest or Register", "Noformēt kā viesis, vai reģistrēt"
"Checkout with Multiple Addresses", "Checkout ar vairākām adresēm"
"City", "Pilsēta"
"Clear Shopping Cart", "Skaidrs Grozs"
