
"* Required Fields", "* Obligātie lauki"
"Comment", "Komentārs"
"Contact Form", "Pieteikuma veidlapa"
"Contact Information", "Kontaktinformācija"
"Contact Us", "Kontakti"
"Contact Us Form", "Kontakti forma"
"Contacts", "Kontakti"
"Contacts Section", "Kontakti sadaļa"
"Email", "E"
"Email Options", "E-pasta iespējas"
"Email Sender", "E-pasta sūtītājs"
"Email Template", "E-pasta veidne"
"Enable Contact Us", "Aktivizēt Kontakti"
"Name", "Nosaukums"
"Send Emails To", "Nosūtīt e-pastus"
"Submit", "Iesniegt"
"Telephone", "Tālrunis"
"Unable to submit your request. Please, "Nevar iesniegt pieprasījumu. Lūdzu
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.", "Jūsu izmeklēšana tika iesniegts un tiks atbildēja uz cik drīz vien iespējams Paldies, ka sazinājāties ar mums.".
