
"Actions", "Darbības"
"Add Answer", "Pievienot atbildi"
"Add New Answer", "Pievienot jaunu atbildi"
"Add New Poll", "Pievienot jaunu aptauju"
"Answer Title", "Atbilde Nosaukums"
"Answer Title:", "Atbilde Title:"
"Answer with the same title in this poll", "Atbildi ar tādu pašu nosaukumu šajā aptaujā"
"Are you sure you want to delete it?", "Vai tiešām vēlaties to dzēst?"
"Assigned Answers", "Piešķirtie Atbildes"
"Closed", "Slēgts"
"Community Poll", "Kopienas Aptauja"
"Date Closed", "Datums Slēgts"
"Date Posted", "Publicēšanas datums"
"Delete", "Dzēst"
"Delete Answer", "Dzēst atbildi"
"Delete Poll", "Dzēst Poll"
"Disallow Voting in a Poll Multiple Times from Same IP-address", "Neatļaut Balsošana aptaujā vairākas reizes no vienas IP-adrese"
"Edit Answer '%s'", "Edit atbildēt '% s'"
"Edit Poll '%s'", "Edit aptauja '% s'"
"Edit Poll Answer", "Labot Aptauja Atbilde"
"ID", "ID"
"Invalid Answer.", "Nepareiza atbilde."
"New Poll", "Jaunā Aptauja"
"Number of Responses", "Atbilžu skaits"
"Open", "Open"
"Poll Answers", "Aptauja Atbildes"
"Poll Information", "Aptauja informācija"
"Poll Manager", "Aptauja vadītājs"
"Poll Question", "Aptauja Jautājums"
"Poll information", "Aptauja informācija"
"Poll with the same question", "Aptauja ar to pašu jautājumu"
"Polls", "Aptaujas"
"Save Answer", "Save Atbilde"
"Save Poll", "Save Poll"
"Status", "Statuss"
"The answer has been saved.", "Atbilde ir saglabāts."
"The poll does not exist.", "Aptauja neeksistē."
"Unable to find an answer to delete.", "Nevar atrast atbildi izdzēst."
"Visible In", "Redzams"
"Vote", "Balsojums"
"Votes Count", "Balsis Count"
"Votes Count:", "Balsis Count:"
