
"1 star", "1 zvaigzne"
"2 stars", "2 zvaigznes"
"3 stars", "3 zvaigznes"
"4 stars", "4 zvaigznes"
"5 stars", "5 zvaigznes"
"Add New Rating", "Pievienot jaunu Rating"
"Assigned Options", "Piešķirtie Options"
"Be the first to review this product", "Esi pirmo atsauksmi par šo preci"
"Default Value", "Noklusētā vērtība"
"Delete Rating", "Dzēst Rating"
"Edit Rating", "Labot Rating"
"ID", "ID"
"If you do not specify a rating title for a store, "Ja jums nav jānorāda reitingu titulu veikalu
"Manage Ratings", "Pārvaldīt Ratings"
"New Rating", "Jauns Rating"
"Option Label", "Variants Label"
"Option Title", "Variants Nosaukums"
"Option Title:", "Variants Title:"
"Please select one of each ratings above", "Lūdzu, izvēlieties vienu no katra vērtējumiem virs"
"Rating Information", "Novērtējums informācija"
"Rating Name", "Novērtējums Nosaukums"
"Rating Options", "Sniegums Options"
"Rating Title", "Novērtējums Nosaukums"
"Rating Visibility", "Novērtējums Redzamība"
"Rating isn't Available", "Reitings nav pieejams"
"Rating with the same title", "Rating ar tādu pašu nosaukumu"
"Save Rating", "Save Rating"
"Sort Order", "Kārtot rīkojums"
"Visible In", "Redzams"
