
"Action", "Darbība"
"Add Sitemap", "Pievienot vietnes"
"Always", "Vienmēr"
"CMS Pages Options", "CMS Pages opcijas"
"Categories Options", "Kategorijas Options"
"Daily", "Dienas"
"Edit Sitemap", "Edit karte"
"Enabled", "Enabled"
"Error Email Recipient", "Kļūda Nosūtīt Saņēmējs"
"Error Email Sender", "Kļūda pasta sūtītājs"
"Error Email Template", "Kļūda e-pasta veidne"
"File ""%s"" cannot be saved. Please, "File" "% s" "nevar tikt saglabāts. Lūdzu
"Filename", "Datnes"
"Frequency", "Frequency"
"Generate", "Izveidot"
"Generation Settings", "Generation Settings"
"Google Sitemap", "Google Sitemap"
"Hourly", "Stundas"
"ID", "ID"
"Last Time Generated", "Pēdējā laikā veidotā"
"Link for Google", "Saite uz Google"
"Monthly", "Mēneša"
"Never", "Nekad"
"New Sitemap", "Jaunie karte"
"Path", "Ceļš"
"Please create the specified folder ""%s"" before saving the sitemap.", "Lūdzu izveidot norādīto mapi" "% s" "pirms saglabāšanas sitemap."
"Please define correct path", "Lūdzu noteikt pareizo ceļu"
"Please make sure that ""%s"" is writable by web-server.", "Lūdzu pārliecinieties, ka" "% s" "ir rakstāms tīmekļa serveri."
"Please use only letters (a-z or A-Z), "Lūdzu, tikai burtus (-Z vai-Z)
"Priority", "Prioritāte"
"Products Options", "Produkti Options"
"Sitemap", "Karte"
"Sitemap generate Warnings", "Karte radīt Brīdinājumi"
"Start Time", "Start Time"
"Store View", "Veikals View"
"The priority must be between 0 and 1.", "Prioritāte jābūt starp 0 un 1."
"The sitemap ""%s"" has been generated.", "The sitemap" "% s" "tika radīts."
"The sitemap has been deleted.", "Karte ir dzēsta."
"The sitemap has been saved.", "Karte ir saglabāta."
"This sitemap no longer exists.", "Šī karte vairs nepastāv."
"Unable to find a sitemap to delete.", "Nevar atrast sitemap, lai dzēstu."
"Unable to find a sitemap to generate.", "Nevar atrast sitemap radīt."
"Unable to generate the sitemap.", "Nevar radīt sitemap."
"Valid values range: from 0.0 to 1.0.", "Derīgas vērtības: no 0,0 līdz 1,0."
"Weekly", "Nedēļas"
"Yearly", "Gada"
