
"# of Uses", "# Izmantošanas veidiem"
"%s tag(s) have been accepted for moderation.", "%s tagu (-ām) ir pieņemts mērenību."
"<strong>Tag Name:</strong> %s", "<strong> Tag Vārds: </ strong>% s"
"Action", "Darbība"
"Add", "Pievienot"
"Add New Tag", "Pievienot jaunu tagu"
"Add Tags", "Pievienot birkas"
"Add Your Tags:", "Pievienot jaunas birkas:"
"Add tag(s) to product", "Pievienot tagu (s) produkts"
"Add to Cart", "Pievienot grozam"
"Add to Wishlist", "Pievienot vēlmju sarakstā"
"All Tags", "Visi Birkas"
"Approved", "Apstiprināts"
"Are you sure you want to delete this tag?", "Vai tiešām vēlaties dzēst šo atzīmi?"
"Are you sure you want to do this?", "Vai tiešām vēlaties to darīt?"
"Are you sure?", "Vai esat pārliecināts?"
"Back", "Atpakaļ"
"Back to Tags List", "Atpakaļ uz Tagi sarakstā"
"Base Popularity", "Bāzes Popularitātes"
"Block Information", "Block Information"
"CSV", "CSV"
"Catalog Product View", "Katalogs Produkts View"
"Change status", "Mainīt statusu"
"Click on a tag to view your corresponding products.", "Noklikšķiniet uz taga, lai apskatītu savu attiecīgo produktu."
"Country", "Valsts"
"Customer My Account My Tags List", "Klientu Mans konts Birkas saraksts"
"Customer My Account Tag View", "Klientu Mans konts Tag View"
"Customer Since", "Klientu Kopš"
"Customers", "Klienti"
"Customers Submitted this Tag", "Klienti iesniedza šo birku"
"Customers Tagged '%s'", "Klienti Tagged '% s'"
"Delete", "Dzēst"
"Delete Tag", "Dzēst Tag"
"Disabled", "Disabled"
"Edit Tag '%s'", "Rediģēt tagu '% s'"
"Email", "E"
"First Name", "Vārds"
"General Information", "Vispārīga informācija"
"Grid", "Grid"
"ID", "ID"
"Info", "Info"
"Last Name", "Uzvārds"
"List", "Saraksts"
"Manage Tags", "Pārvaldīt Tags"
"My Recent Tags", "Mani nesenie Birkas"
"My Tags", "Mani Birkas"
"Name", "Nosaukums"
"New Tag", "Jaunā Tag"
"No matches found.", "Nekas nav atrasts."
"Other people marked this product with these tags:", "Citi cilvēki atzīmēta šo produktu ar šīm birkām:"
"Pending", "Kamēr"
"Pending Tags", "Līdz Birkas"
"Popular", "Populārs"
"Popular Tags", "Popular Tags"
"Price", "Cena"
"Product Name", "Nosaukums"
"Product SKU", "Produktu SKU"
"Product Tag API", "Produkts Tag API"
"Product Tags", "Preces birkas"
"Products", "Produkti"
"Products Tagged by Administrators", "Produkti Tagged administratori"
"Products Tagged by Customers", "Produkti Tagged ar klientiem"
"Products Tagged with '%s'", "Produkti Atzīmēti ar '% s'"
"Products tagged with '%s'", "Produkti tagged ar"% s ""
"Rebuild Tag aggregation data", "Rebuild Tag akumulēšana datus"
"Remove", "Noņemt"
"Remove product tag", "Dzēst produktu birku"
"Retrieve list of tags by product", "Retrieve birku sarakstu ar produktu"
"Retrieve product tag info", "Retrieve produktu tag info"
"SKU", "SKU"
"Save Tag", "Save Tag"
"Save and Continue Edit", "Saglabāt un turpināt rediģēt"
"Status", "Statuss"
"Store View", "Veikals View"
"Tag", "Tag"
"Tag ""%s"" has already been added to the product.", "Tag" "% s" "jau ir pievienota produktam."
"Tag ""%s"" has been added to the product.", "Tag" "% s" "ir pievienota produktam."
"Tag ""%s"" has been rejected by administrator.", "Tag" "% s" "ir noraidījusi administrators."
"Tag Aggregation Data", "Tag summēšana Dati"
"Tag Name", "Tag Vārds"
"Tagged Products List", "Tagged Produktu saraksts"
"Tags", "Birkas"
"Tags List (All Available)", "Birkas saraksts (visi pieejamie)"
"Tags List Before", "Birkas sarakstā pirms"
"Tags:", "Tags:"
"Telephone", "Tālrunis"
"The tag has been deleted.", "Frāze ir dzēsts."
"There are no tags available.", "Nav tagus pieejami."
"Unable to find any products tagged with '%s' in the current store", "Nevar atrast nevienu produktu atzīmēti ar '% s', pašreizējā veikalā"
"Unable to remove tag. Please, "Nevar noņemt atzīmi. Lūdzu
"Unable to save tag(s).", "Nevar saglabāt tagu (s)."
"Update", "Update"
"Update product tag", "Atjaunināt produkta tagu"
"Use spaces to separate tags. Use single quotes (') for phrases.", "Izmantojiet atstarpes, lai atdalītu birkas, apostrofus pēdiņām (") par frāzes. ".
"View All Tags", "Skatīt visus tagus"
"View Customers", "View Klienti"
"View Products", "Produkcija"
"XML", "XML"
"You have not tagged any products yet.", "Jūs neesat atzīmējis visus produktus vēl."
"ZIP/Post Code", "ZIP / Pasta indekss"
"[STORE VIEW]", "[STORE SKATS]"
